Ticket_#,Customer_Complaint,Date,Date_month_year,Time,Received_Via,City,State,Zip_code,Status,Filing_on_Behalf_of_Someone,Complaint_Type,Status_Group,Cleaned_Complaint
337489,Comcast not refunding my credit,06-12-2015,06-Dec-15,3:59:57 PM,Internet,Alpharetta,Georgia,30005,Solved,No,Other/Technical,Resolved,comcast not refunding my credit
354116,Comcast,20-06-2015,20-Jun-15,5:03:09 PM,Internet,Alpharetta,Georgia,30022,Solved,No,Other/Technical,Resolved,comcast
371829,No Service,29-06-2015,29-Jun-15,11:23:38 AM,Internet,Alpharetta,Georgia,30005,Closed,No,Service/Network,Unresolved,no service
373874,Comcast,30-06-2015,30-Jun-15,12:24:57 AM,Customer Care Call,Alvin,Texas,77511,Solved,No,Other/Technical,Resolved,comcast
300824,"INTERNET , BILLING AND SERVIE ISSUES",21-05-2015,21-May-15,9:34:19 AM,Customer Care Call,Ambridge,Pennsylvania,15003,Open,No,Billing/Charges,Unresolved,internet  billing and servie issues
348923,Comcast blocking DirecTv signals,18-06-2015,18-Jun-15,1:50:02 PM,Customer Care Call,Ambridge,Pennsylvania,15003,Open,No,Other/Technical,Unresolved,comcast blocking directv signals
302574,pmts,21-05-2015,21-May-15,8:53:29 PM,Internet,Amesbury,Massachusetts,1913,Open,No,Other/Technical,Unresolved,pmts
343346,Slow Internet Speed,16-06-2015,16-Jun-15,1:45:58 PM,Internet,Amherst,New Hampshire,3031,Open,No,Internet Speed,Unresolved,slow internet speed
286768,not getting what I am paying for with internet,05-12-2015,05-Dec-15,9:06:01 PM,Customer Care Call,Andover,Minnesota,55304,Solved,No,Other/Technical,Resolved,not getting what i am paying for with internet
223179,Comcast bandwidth every evening drops to 10% of what is promised to our business,04-08-2015,04-Aug-15,1:04:24 AM,Internet,Angels Camp,California,95222,Closed,No,Other/Technical,Unresolved,comcast bandwidth every evening drops to  of what is promised to our business
235980,isp dishonest about speeds,14-04-2015,14-Apr-15,8:57:50 PM,Customer Care Call,Angels Camp,California,95222,Closed,No,Internet Speed,Unresolved,isp dishonest about speeds
236469,Deceptive sales- change in billing amount etc.,15-04-2015,15-Apr-15,10:16:14 AM,Internet,Ann Arbor,Michigan,48104,Closed,No,Billing/Charges,Unresolved,deceptive sales change in billing amount etc
288602,Comcast Billing Dispute,13-05-2015,13-May-15,6:20:32 PM,Internet,Ann Arbor,Michigan,48105,Closed,No,Billing/Charges,Unresolved,comcast billing dispute
309379,Comcast,27-05-2015,27-May-15,1:50:37 PM,Internet,Ann Arbor,Michigan,48105,Solved,No,Other/Technical,Resolved,comcast
351079,Comcast Billing and Service Issues,19-06-2015,19-Jun-15,9:19:46 AM,Internet,Ann Arbor,Michigan,48105,Solved,No,Billing/Charges,Resolved,comcast billing and service issues
366705,Cable prices rising,25-06-2015,25-Jun-15,6:17:58 PM,Internet,Ann Arbor,Michigan,48103,Solved,No,Other/Technical,Resolved,cable prices rising
368705,service issues,26-06-2015,26-Jun-15,3:56:18 PM,Internet,Annapolis,Maryland,21401,Solved,No,Service/Network,Resolved,service issues
347369,HBO GO on Playstation 4,17-06-2015,17-Jun-15,8:41:23 PM,Internet,Annville,Pennsylvania,17003,Solved,No,Other/Technical,Resolved,hbo go on playstation 
291784,internet connectivity,15-05-2015,15-May-15,1:07:11 PM,Customer Care Call,Anoka,Minnesota,55303,Solved,No,Other/Technical,Resolved,internet connectivity
308478,Email issues,26-05-2015,26-May-15,9:45:02 PM,Customer Care Call,Antioch,California,94509,Solved,No,Other/Technical,Resolved,email issues
309851,Monopoly,27-05-2015,27-May-15,4:24:46 PM,Internet,Antioch,Tennessee,37013,Solved,No,Other/Technical,Resolved,monopoly
367342,Complaint against Xfinity/Comcast,26-06-2015,26-Jun-15,2:38:50 AM,Internet,Aptos,California,95003,Closed,No,Other/Technical,Unresolved,complaint against xfinitycomcast
227209,Comcast credit after cancellation has not been received after more than a year,04-09-2015,04-Sep-15,4:40:05 PM,Customer Care Call,Arlington,Virginia,22202,Closed,No,Other/Technical,Unresolved,comcast credit after cancellation has not been received after more than a year
266376,Comcast False Promises,30-04-2015,30-Apr-15,1:06:52 PM,Internet,Arlington,Virginia,22206,Closed,No,Other/Technical,Unresolved,comcast false promises
325273,Comcast Blocking UDP Port 443,06-05-2015,06-May-15,1:02:10 PM,Customer Care Call,Arlington,Virginia,22206,Closed,Yes,Other/Technical,Unresolved,comcast blocking udp port 
342435,Issues with Comcast,15-06-2015,15-Jun-15,10:39:15 PM,Internet,Arlington,Virginia,22206,Solved,No,Other/Technical,Resolved,issues with comcast
348514,Comcast Refuses to Schedule a Future Service Stoppage,18-06-2015,18-Jun-15,12:02:57 PM,Internet,Arlington,Virginia,22204,Solved,No,Service/Network,Resolved,comcast refuses to schedule a future service stoppage
352100,Comcast,19-06-2015,19-Jun-15,2:36:57 PM,Internet,Arlington,Virginia,22206,Open,No,Other/Technical,Unresolved,comcast
355887,Overbilling,22-06-2015,22-Jun-15,1:45:40 PM,Customer Care Call,Arlington,Virginia,22207,Solved,Yes,Billing/Charges,Resolved,overbilling
356118,"Comcast - failure to provide service, refusal to void contract",22-06-2015,22-Jun-15,2:41:05 PM,Customer Care Call,Arlington,Virginia,22206,Solved,No,Service/Network,Resolved,comcast  failure to provide service refusal to void contract
363869,Spotty Comcast service,25-06-2015,25-Jun-15,8:03:27 AM,Customer Care Call,Arlington,Virginia,22202,Solved,No,Service/Network,Resolved,spotty comcast service
369398,without service despite willingness to pay,26-06-2015,26-Jun-15,9:09:12 PM,Customer Care Call,Arlington,Virginia,22204,Open,No,Service/Network,Unresolved,without service despite willingness to pay
226231,Issues with Xfinity/Comcast,04-09-2015,04-Sep-15,12:24:32 PM,Customer Care Call,Arlington Heights,Illinois,60004,Closed,No,Other/Technical,Unresolved,issues with xfinitycomcast
241880,Cable Modem rent for Internet access,17-04-2015,17-Apr-15,3:48:16 PM,Internet,Arlington Heights,Illinois,60004,Closed,No,Other/Technical,Unresolved,cable modem rent for internet access
360187,Comcast/Xfinity,23-06-2015,23-Jun-15,9:27:28 PM,Customer Care Call,Arvada,Colorado,80004,Solved,No,Other/Technical,Resolved,comcastxfinity
223960,Speed issues,04-08-2015,04-Aug-15,12:53:45 PM,Internet,Ashland,Virginia,23005,Closed,No,Internet Speed,Unresolved,speed issues
355934,AT&T,22-06-2015,22-Jun-15,1:58:04 PM,Customer Care Call,Athens,Tennessee,37303,Solved,No,Other/Technical,Resolved,att
211976,Fraudulent claims reported to collections agency,04-01-2015,04-Jan-15,1:26:53 PM,Customer Care Call,Atlanta,Georgia,30312,Closed,No,Other/Technical,Unresolved,fraudulent claims reported to collections agency
243998,Comcast using a Data Cap to take however much money they like,19-04-2015,19-Apr-15,10:49:13 PM,Internet,Atlanta,Georgia,30097,Closed,No,Other/Technical,Unresolved,comcast using a data cap to take however much money they like
265755,Comcast Data Cap,30-04-2015,30-Apr-15,8:50:19 AM,Customer Care Call,Atlanta,Georgia,30339,Closed,No,Other/Technical,Unresolved,comcast data cap
230907,Speed of service,04-11-2015,04-Nov-15,8:30:03 PM,Customer Care Call,Atlanta,Georgia,30319,Closed,No,Internet Speed,Unresolved,speed of service
231273,Comcast's Monopolistic Practices and Data Capping,04-12-2015,04-Dec-15,3:22:03 PM,Internet,Atlanta,Georgia,30315,Closed,No,Other/Technical,Unresolved,comcasts monopolistic practices and data capping
231292,"Comcast data cap ""trials""",04-12-2015,04-Dec-15,3:45:26 PM,Internet,Atlanta,Georgia,30316,Closed,No,Other/Technical,Unresolved,comcast data cap trials
231377,Comcast billing problem,04-12-2015,04-Dec-15,6:18:10 PM,Internet,Atlanta,Georgia,30308,Closed,No,Billing/Charges,Unresolved,comcast billing problem
252681,Comcast Needs Competition,23-04-2015,23-Apr-15,2:26:10 PM,Customer Care Call,Atlanta,Georgia,30315,Closed,No,Other/Technical,Unresolved,comcast needs competition
268101,Comcast services/billing issues,05-01-2015,05-Jan-15,10:00:59 AM,Customer Care Call,Atlanta,Georgia,30316,Solved,No,Billing/Charges,Resolved,comcast servicesbilling issues
269066,Incorrect Bill,05-01-2015,05-Jan-15,3:43:37 PM,Customer Care Call,Atlanta,Georgia,30317,Solved,No,Billing/Charges,Resolved,incorrect bill
273420,Legality of data caps,05-05-2015,05-May-15,11:58:26 AM,Internet,Atlanta,Georgia,30315,Closed,No,Other/Technical,Unresolved,legality of data caps
278509,Data caps,05-07-2015,05-Jul-15,2:55:45 PM,Internet,Atlanta,Georgia,30363,Open,No,Other/Technical,Unresolved,data caps
279656,Comcast Added Service After I Declined It,05-08-2015,05-Aug-15,8:47:45 AM,Internet,Atlanta,Georgia,30345,Solved,No,Service/Network,Resolved,comcast added service after i declined it
288771,Comcast Misled With Overage Policy,13-05-2015,13-May-15,7:55:53 PM,Internet,Atlanta,Georgia,30317,Open,No,Other/Technical,Unresolved,comcast misled with overage policy
293512,Cable service and telephone connect not complete,16-05-2015,16-May-15,4:29:33 PM,Customer Care Call,Atlanta,Georgia,30311,Solved,Yes,Service/Network,Resolved,cable service and telephone connect not complete
297104,Comcast data cap,19-05-2015,19-May-15,1:51:11 PM,Customer Care Call,Atlanta,Georgia,30305,Solved,No,Other/Technical,Resolved,comcast data cap
303412,Comcast Won't Cancel My Service,22-05-2015,22-May-15,1:09:51 PM,Customer Care Call,Atlanta,Georgia,30318,Solved,No,Service/Network,Resolved,comcast wont cancel my service
304450,Data Caps,23-05-2015,23-May-15,12:05:55 AM,Internet,Atlanta,Georgia,30318,Open,No,Other/Technical,Unresolved,data caps
305137,Comcast disconnecting service before due date,23-05-2015,23-May-15,11:34:43 PM,Internet,Atlanta,Georgia,30324,Open,No,Service/Network,Unresolved,comcast disconnecting service before due date
305982,comcast data cap,25-05-2015,25-May-15,3:34:56 PM,Internet,Atlanta,Georgia,30309,Open,No,Other/Technical,Unresolved,comcast data cap
307799,Comcast,26-05-2015,26-May-15,4:29:57 PM,Customer Care Call,Atlanta,Georgia,30318,Solved,No,Other/Technical,Resolved,comcast
308171,Unbelievable Treatment,26-05-2015,26-May-15,6:40:25 PM,Customer Care Call,Atlanta,Georgia,30310,Solved,No,Other/Technical,Resolved,unbelievable treatment
312746,Denial of Comcast Business (Phone and internet) Service to my dental practice,28-05-2015,28-May-15,10:35:40 PM,Customer Care Call,Atlanta,Georgia,30324,Solved,No,Service/Network,Resolved,denial of comcast business phone and internet service to my dental practice
311725,Comcast's Terrible Service - How are they still in business?,28-05-2015,28-May-15,2:46:47 PM,Internet,Atlanta,Georgia,30309,Solved,No,Service/Network,Resolved,comcasts terrible service  how are they still in business
313949,they are forcing me for my bank account information by suspending my services for no reason (I also feel like they are committing corporate theft).,29-05-2015,29-May-15,3:56:01 PM,Internet,Atlanta,Georgia,30314,Solved,No,Billing/Charges,Resolved,they are forcing me for my bank account information by suspending my services for no reason i also feel like they are committing corporate theft
315173,Comcast discontinuation of service issue,30-05-2015,30-May-15,3:27:41 PM,Customer Care Call,Atlanta,Georgia,30312,Open,No,Service/Network,Unresolved,comcast discontinuation of service issue
317945,Comcast customer service,06-01-2015,06-Jan-15,9:32:46 PM,Customer Care Call,Atlanta,Georgia,30329,Closed,No,Service/Network,Unresolved,comcast customer service
318301,Comcast,06-02-2015,06-Feb-15,10:06:22 AM,Customer Care Call,Atlanta,Georgia,30315,Closed,No,Other/Technical,Unresolved,comcast
322511,"Comcast bandwidth data caps in Atlanta, GA",06-03-2015,06-Mar-15,11:59:33 PM,Internet,Atlanta,Georgia,30341,Closed,Yes,Other/Technical,Unresolved,comcast bandwidth data caps in atlanta ga
322882,Comcast won't quit charging me for modem rental,06-04-2015,06-Apr-15,10:58:18 AM,Internet,Atlanta,Georgia,30317,Solved,No,Other/Technical,Resolved,comcast wont quit charging me for modem rental
323473,Comcast download caps,06-04-2015,06-Apr-15,2:18:03 PM,Internet,Atlanta,Georgia,30345,Solved,No,Other/Technical,Resolved,comcast download caps
325596,Horrible Comcast Customer Service,06-05-2015,06-May-15,2:46:43 PM,Customer Care Call,Atlanta,Georgia,30339,Solved,No,Service/Network,Resolved,horrible comcast customer service
327291,Data Cap,06-07-2015,06-Jul-15,10:01:52 AM,Internet,Atlanta,Georgia,30309,Solved,No,Other/Technical,Resolved,data cap
334035,Bad Customer Service,06-10-2015,06-Oct-15,10:24:00 PM,Internet,Atlanta,Georgia,30331,Solved,No,Service/Network,Resolved,bad customer service
340637,disconnection of service,15-06-2015,15-Jun-15,10:56:55 AM,Customer Care Call,Atlanta,Georgia,30306,Solved,No,Service/Network,Resolved,disconnection of service
341535,Comcast Data Usage Charges,15-06-2015,15-Jun-15,3:39:09 PM,Customer Care Call,Atlanta,Georgia,30309,Open,No,Billing/Charges,Unresolved,comcast data usage charges
350016,Comcast refuses service to my address,18-06-2015,18-Jun-15,4:45:38 PM,Customer Care Call,Atlanta,Georgia,30318,Solved,No,Service/Network,Resolved,comcast refuses service to my address
349567,Comcast will not let me discuss my bill or service with a representative,18-06-2015,18-Jun-15,3:36:45 PM,Customer Care Call,Atlanta,Georgia,30324,Solved,No,Billing/Charges,Resolved,comcast will not let me discuss my bill or service with a representative
349716,Comcast billing frauds,18-06-2015,18-Jun-15,3:53:05 PM,Internet,Atlanta,Georgia,30328,Solved,No,Billing/Charges,Resolved,comcast billing frauds
354254,Comcast TV/Internet hookup,20-06-2015,20-Jun-15,7:16:33 PM,Internet,Atlanta,Georgia,30341,Solved,No,Other/Technical,Resolved,comcast tvinternet hookup
355121,no service for 5+ days,22-06-2015,22-Jun-15,9:05:33 AM,Internet,Atlanta,Georgia,30341,Solved,No,Service/Network,Resolved,no service for  days
357856,Comcast - Billing,23-06-2015,23-Jun-15,11:35:54 AM,Customer Care Call,Atlanta,Georgia,30363,Open,No,Billing/Charges,Unresolved,comcast  billing
359719,Comcast Internet,23-06-2015,23-Jun-15,6:27:47 PM,Customer Care Call,Atlanta,Georgia,30307,Solved,No,Other/Technical,Resolved,comcast internet
359260,Comcast speed integrity,23-06-2015,23-Jun-15,4:30:18 PM,Customer Care Call,Atlanta,Georgia,30308,Pending,No,Internet Speed,Unresolved,comcast speed integrity
358601,Data cap,23-06-2015,23-Jun-15,2:21:23 PM,Internet,Atlanta,Georgia,30306,Pending,No,Other/Technical,Unresolved,data cap
362076,Comcast Atlanta Data Caps,24-06-2015,24-Jun-15,2:13:31 PM,Internet,Atlanta,Georgia,30306,Pending,No,Other/Technical,Unresolved,comcast atlanta data caps
362097,Comcast Atlanta Data Caps,24-06-2015,24-Jun-15,2:18:32 PM,Internet,Atlanta,Georgia,30324,Pending,No,Other/Technical,Unresolved,comcast atlanta data caps
363616,COMCAST Poor Customer Service,24-06-2015,24-Jun-15,10:28:58 PM,Internet,Atlanta,Georgia,30345,Open,No,Service/Network,Unresolved,comcast poor customer service
361720,Overage on 300GB data plan with Comcast,24-06-2015,24-Jun-15,12:39:59 PM,Customer Care Call,Atlanta,Georgia,30306,Solved,No,Other/Technical,Resolved,overage on gb data plan with comcast
362223,Comcast bill,24-06-2015,24-Jun-15,2:43:13 PM,Customer Care Call,Atlanta,Georgia,30316,Solved,No,Billing/Charges,Resolved,comcast bill
363102,Comcast Data Cap,24-06-2015,24-Jun-15,6:24:57 PM,Customer Care Call,Atlanta,Georgia,30328,Pending,No,Other/Technical,Unresolved,comcast data cap
363235,Unfair Billing Practices,24-06-2015,24-Jun-15,7:12:16 PM,Internet,Atlanta,Georgia,30307,Solved,No,Billing/Charges,Resolved,unfair billing practices
363424,Comcast data caps,24-06-2015,24-Jun-15,8:42:06 PM,Customer Care Call,Atlanta,Georgia,30327,Solved,No,Other/Technical,Resolved,comcast data caps
365321,Comcast Refusing to Honor Internet Rate,25-06-2015,25-Jun-15,2:08:35 PM,Internet,Atlanta,Georgia,30324,Solved,No,Other/Technical,Resolved,comcast refusing to honor internet rate
363860,speed,25-06-2015,25-Jun-15,7:33:58 AM,Internet,Atlanta,Georgia,30316,Open,No,Internet Speed,Unresolved,speed
368838,Not Acceptable Internet Additional Charge.,26-06-2015,26-Jun-15,4:42:51 PM,Customer Care Call,Atlanta,Georgia,30339,Solved,No,Billing/Charges,Resolved,not acceptable internet additional charge
367718,Comcast internet and cable service,26-06-2015,26-Jun-15,11:02:54 AM,Customer Care Call,Atlanta,Georgia,30316,Open,Yes,Service/Network,Unresolved,comcast internet and cable service
370846,"Comcast deceptive advertising, overage charges",28-06-2015,28-Jun-15,12:08:05 PM,Internet,Atlanta,Georgia,30329,Pending,No,Billing/Charges,Unresolved,comcast deceptive advertising overage charges
372331,Comcast Data Caps,29-06-2015,29-Jun-15,1:49:15 PM,Internet,Atlanta,Georgia,30324,Pending,Yes,Other/Technical,Unresolved,comcast data caps
373205,Comcast: Xfinity Slamming,29-06-2015,29-Jun-15,5:41:37 PM,Internet,Atlanta,Georgia,30315,Closed,No,Other/Technical,Unresolved,comcast xfinity slamming
375377,Comcast Support Unable to Provide Accurate Information,30-06-2015,30-Jun-15,4:17:34 PM,Internet,Atlanta,Georgia,30328,Open,No,Customer Service,Unresolved,comcast support unable to provide accurate information
373977,Comcast Data Usage Limits,30-06-2015,30-Jun-15,8:14:37 AM,Internet,Atlanta,Georgia,30342,Pending,No,Other/Technical,Unresolved,comcast data usage limits
344456,Repeated Erroneous Modem Rental Charge,16-06-2015,16-Jun-15,8:17:10 PM,Customer Care Call,Atlanta,Georgia,30308,Solved,No,Billing/Charges,Resolved,repeated erroneous modem rental charge
374159,Xfinity pricing,30-06-2015,30-Jun-15,10:33:18 AM,Customer Care Call,Atlantic Beach,Florida,32233,Solved,No,Billing/Charges,Resolved,xfinity pricing
359224,Comcast monopoly,23-06-2015,23-Jun-15,4:22:19 PM,Internet,Attalla,Alabama,35954,Solved,No,Other/Technical,Resolved,comcast monopoly
274956,Internet connection both upload and download speeds,05-05-2015,05-May-15,7:34:03 PM,Customer Care Call,Attica,Indiana,47918,Open,No,Internet Speed,Unresolved,internet connection both upload and download speeds
338651,Internet Availability,13-06-2015,13-Jun-15,1:07:20 AM,Internet,Attica,Michigan,48412,Open,No,Other/Technical,Unresolved,internet availability
369453,"Comcast ""50 mb/s"" speed and throttling",26-06-2015,26-Jun-15,10:15:55 PM,Internet,Auburn,Georgia,30011,Pending,No,Internet Speed,Unresolved,comcast  mbs speed and throttling
221984,Complaint against Comcast,04-07-2015,04-Jul-15,2:43:14 PM,Internet,Auburn,Pennsylvania,17922,Closed,No,Other/Technical,Unresolved,complaint against comcast
346885,Comcast,17-06-2015,17-Jun-15,6:17:59 PM,Internet,Auburn,Washington,98092,Open,No,Other/Technical,Unresolved,comcast
359070,Comcast (Xfinity) Monopolistic Billing Practices,23-06-2015,23-Jun-15,3:49:46 PM,Internet,Auburn,Washington,98092,Closed,No,Billing/Charges,Unresolved,comcast xfinity monopolistic billing practices
372769,Internet Throttling,29-06-2015,29-Jun-15,3:47:44 PM,Internet,Auburn,Washington,98092,Solved,No,Other/Technical,Resolved,internet throttling
311239,Data Usage Overage,28-05-2015,28-May-15,12:16:01 PM,Internet,Augusta,Georgia,30907,Solved,Yes,Other/Technical,Resolved,data usage overage
339371,double billing after change of service,13-06-2015,13-Jun-15,5:24:59 PM,Internet,Augusta,Georgia,30904,Solved,Yes,Billing/Charges,Resolved,double billing after change of service
360222,Bandwidth Caps becoming excessive,23-06-2015,23-Jun-15,9:36:55 PM,Internet,Augusta,Georgia,30907,Solved,No,Other/Technical,Resolved,bandwidth caps becoming excessive
370518,Comcast data limits,27-06-2015,27-Jun-15,8:32:23 PM,Customer Care Call,Augusta,Georgia,30904,Solved,Yes,Other/Technical,Resolved,comcast data limits
335988,Unable to cancel xfinity home security,06-11-2015,06-Nov-15,9:11:33 PM,Customer Care Call,Aurora,Colorado,80012,Solved,No,Other/Technical,Resolved,unable to cancel xfinity home security
361604,Comcast trying to setup stuff we didn't order,24-06-2015,24-Jun-15,12:16:47 PM,Customer Care Call,Aurora,Colorado,80011,Solved,No,Other/Technical,Resolved,comcast trying to setup stuff we didnt order
369583,Terrible waiting times,27-06-2015,27-Jun-15,1:21:11 AM,Internet,Aurora,Colorado,80014,Solved,Yes,Other/Technical,Resolved,terrible waiting times
342399,Incorrect prices for new customers,15-06-2015,15-Jun-15,9:50:41 PM,Customer Care Call,Aurora,Illinois,60503,Open,No,Customer Service,Unresolved,incorrect prices for new customers
359858,Comcast is throttling my internet,23-06-2015,23-Jun-15,7:16:40 PM,Customer Care Call,Aurora,Illinois,60503,Pending,No,Other/Technical,Unresolved,comcast is throttling my internet
363993,Internet Pricing,25-06-2015,25-Jun-15,9:30:43 AM,Customer Care Call,Aurora,Illinois,60502,Open,No,Billing/Charges,Unresolved,internet pricing
223256,MISC. CHARGES,04-08-2015,04-Aug-15,7:51:06 AM,Customer Care Call,Austell,Georgia,30106,Closed,No,Billing/Charges,Unresolved,misc charges
375093,Comast data cap,30-06-2015,30-Jun-15,3:07:14 PM,Customer Care Call,Austell,Georgia,30168,Pending,No,Other/Technical,Unresolved,comast data cap
347937,Comcast throttles internet,18-06-2015,18-Jun-15,9:15:45 AM,Customer Care Call,Austin,Texas,78731,Open,No,Internet Speed,Unresolved,comcast throttles internet
360286,throttling,23-06-2015,23-Jun-15,10:07:17 PM,Internet,Avon,Colorado,81620,Pending,Yes,Other/Technical,Unresolved,throttling
